Generation,d_e,k_r,delta,k_o,d_min,Cost,index_dt,dt,index_dy,dy,index_dang,dang
4,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,572.1929614993929,1,500,2,-1.0428888856072973,2,-0.6419406164687602
4,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,577.064741104908,1,2.4663519859313965,2,3.7504487994720677,1,0.6311016163216834
4,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,584.9468722713275,1,2.5709068775177,2,-2.1935768600190073,1,0.5253646356893327
4,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,594.8973678379468,2,2.675671100616455,2,6.049120703823107,1,0.8909289465596552
4,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,605.3468140371135,2,3.1978652477264404,2,5.950864819895429,1,0.8550036474101297
4,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,611.3977315255298,2,2.7480945587158203,2,5.827461622672644,1,0.589206761189032
4,9.744994980336942,1.681508428578411,4.8216938788246715,4.760385814489455,1.9764764169228843,632.5189911511891,1,2.9975502490997314,2,7.017339929178135,2,-1.5341609556687446
4,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,633.0305411021034,2,2.984104633331299,1,7.169872523312151,2,-1.6880749356032017
4,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,635.938555829902,1,2.5610029697418213,2,-3.12163224060113,1,0.6066557796388732
4,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,639.8341254589736,2,4.5902979373931885,2,5.691333197401235,1,0.8491019147130989
4,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,651.975296425149,2,2.614503860473633,2,5.375901624593631,1,0.8107466575584155
4,3.358476521861462,2.855758032658292,4.911535104546582,3.5408850966858303,1.9805262323634032,702.2316906893814,2,2.7009506225585938,2,5.018292497730883,1,0.8415127005167008
5,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,481.3792422614494,2,3.0031230449676514,3,6.362102150795437,2,0.9301448447242987
5,2.4724184619141685,3.2492002615044813,6.59274688263122,0.1545393407401352,0.8087294473216344,516.5633070882657,2,2.637251138687134,2,4.830427214755616,1,0.7596440831309167
5,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,520.0393125727228,1,3.424288511276245,2,-3.0089679113393117,2,0.5408279656317502
5,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,542.7198714143233,1,2.7490897178649902,2,6.291977713748295,1,0.875374573383044
5,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,542.7381364146624,2,2.57527232170105,2,-0.6780195504723281,2,0.7553132422090784
